"2014/03/12 02:18:48","11322","0","85","6358m","973m","1450.00","46780"
"2014/03/12 02:18:52","11322","0","85","6358m","973m","1426.00","46778"
"2014/03/12 02:18:55","11322","0","85","6358m","974m","1447.00","46779"
"2014/03/12 02:18:58","11322","0","85","6358m","974m","1438.00","46780"
"2014/03/12 02:19:02","11322","0","85","6358m","973m","1482.00","46779"
"2014/03/12 02:19:05","11322","0","85","6358m","980m","1457.00","46772"
"2014/03/12 02:19:08","11322","0","85","6358m","980m","1470.00","46772"
"2014/03/12 02:19:11","11322","0","85","6358m","980m","1476.00","46772"
"2014/03/12 02:19:14","11322","0","85","6358m","980m","1452.00","46773"
"2014/03/12 02:19:18","11322","0","85","6358m","980m","1470.00","46774"
"2014/03/12 02:19:21","11322","0","85","6358m","981m","1453.00","46772"
"2014/03/12 02:19:24","11322","0","85","6358m","980m","1460.00","46773"
"2014/03/12 02:19:27","11322","0","85","6358m","981m","1453.00","46772"
"2014/03/12 02:19:31","11322","0","85","6358m","981m","1449.00","46773"
"2014/03/12 02:19:34","11322","0","85","6358m","980m","1476.00","46771"
"2014/03/12 02:19:37","11322","0","85","6358m","980m","1491.00","46773"
"2014/03/12 02:19:40","11322","0","85","6358m","981m","1436.00","46771"
"2014/03/12 02:19:44","11322","0","85","6358m","981m","1380.00","46771"
"2014/03/12 02:19:47","11322","0","85","6358m","981m","1450.00","46772"
"2014/03/12 02:19:50","11322","0","85","6358m","981m","1400.00","46772"
"2014/03/12 02:19:53","11322","0","85","6358m","981m","1457.00","46772"
"2014/03/12 02:19:57","11322","0","85","6358m","981m","1476.00","46772"
"2014/03/12 02:20:00","11322","0","85","6358m","981m","1396.00","46772"
"2014/03/12 02:20:03","11322","0","85","6358m","980m","1424.00","46772"
"2014/03/12 02:20:06","11322","0","85","6358m","983m","1436.00","46770"
"2014/03/12 02:20:10","11322","0","85","6358m","983m","1427.00","46770"
"2014/03/12 02:20:13","11322","0","85","6358m","983m","1458.00","46770"
"2014/03/12 02:20:16","11322","0","85","6358m","983m","1438.00","46770"
"2014/03/12 02:20:20","11322","0","85","6358m","982m","1481.00","46770"
"2014/03/12 02:20:23","11322","0","85","6358m","982m","1432.00","46771"
"2014/03/12 02:20:26","11322","0","85","6358m","983m","1466.00","46769"
"2014/03/12 02:20:29","11322","0","85","6358m","983m","1448.00","46770"
"2014/03/12 02:20:33","11322","0","85","6358m","983m","1444.00","46771"
"2014/03/12 02:20:36","11322","0","85","6358m","983m","1495.00","46771"
"2014/03/12 02:20:39","11322","0","85","6358m","983m","1470.00","46770"
"2014/03/12 02:20:43","11322","0","85","6358m","983m","1466.00","46770"
"2014/03/12 02:20:46","11322","0","85","6358m","983m","1464.00","46771"
"2014/03/12 02:20:49","11322","0","85","6358m","983m","1483.00","46770"
"2014/03/12 02:20:52","11322","0","85","6358m","984m","1394.00","46768"
"2014/03/12 02:20:56","11322","0","85","6358m","984m","1429.00","46769"
"2014/03/12 02:20:59","11322","0","85","6358m","984m","1462.00","46770"
"2014/03/12 02:21:02","11322","0","85","6358m","984m","1472.00","46770"
"2014/03/12 02:21:06","11322","0","85","6358m","984m","1464.00","46769"
"2014/03/12 02:21:09","11322","0","85","6358m","984m","1444.00","46770"
"2014/03/12 02:21:12","11322","0","85","6358m","984m","1426.00","46770"
"2014/03/12 02:21:15","11322","0","85","6358m","984m","1424.00","46769"
"2014/03/12 02:21:19","11322","0","85","6358m","984m","1470.00","46768"
"2014/03/12 02:21:22","11322","0","85","6358m","984m","1434.00","46769"
"2014/03/12 02:21:25","11322","0","85","6358m","984m","1456.00","46770"
"2014/03/12 02:21:28","11322","0","85","6358m","984m","1443.00","46769"
"2014/03/12 02:21:32","11322","0","85","6358m","984m","1458.00","46768"
"2014/03/12 02:21:35","11322","0","85","6358m","984m","1445.00","46769"
"2014/03/12 02:21:38","11322","0","85","6358m","984m","1449.00","46769"
"2014/03/12 02:21:42","11322","0","85","6358m","984m","1440.00","46768"
"2014/03/12 02:21:45","11322","0","85","6358m","984m","1466.00","46770"
"2014/03/12 02:21:48","11322","0","85","6358m","984m","1484.00","46769"
"2014/03/12 02:21:51","11322","0","85","6358m","984m","1482.00","46769"
"2014/03/12 02:21:55","11322","0","85","6358m","988m","1480.00","46766"
"2014/03/12 02:21:58","11322","0","85","6358m","988m","1452.00","46765"
"2014/03/12 02:22:01","11322","0","85","6358m","989m","1460.00","46765"
"2014/03/12 02:22:04","11322","0","85","6358m","989m","1460.00","46765"
"2014/03/12 02:22:08","11322","0","85","6358m","989m","1414.00","46764"
"2014/03/12 02:22:11","11322","0","85","6358m","989m","1438.00","46765"
"2014/03/12 02:22:14","11322","0","85","6358m","989m","1466.00","46763"
"2014/03/12 02:22:17","11322","0","85","6358m","989m","1420.00","46763"
"2014/03/12 02:22:21","11322","0","85","6358m","989m","1414.00","46763"
"2014/03/12 02:22:24","11322","0","85","6358m","989m","1428.00","46764"
"2014/03/12 02:22:27","11322","0","85","6358m","989m","1418.00","46764"
"2014/03/12 02:22:30","11322","0","85","6358m","990m","1450.00","46763"
"2014/03/12 02:22:34","11322","0","85","6358m","989m","1444.00","46763"
"2014/03/12 02:22:37","11322","0","85","6358m","989m","1483.00","46765"
"2014/03/12 02:22:40","11322","0","85","6358m","989m","1450.00","46765"
"2014/03/12 02:22:43","11322","0","85","6358m","989m","1486.00","46765"
"2014/03/12 02:22:47","11322","0","85","6358m","989m","1511.00","46765"
"2014/03/12 02:22:50","11322","0","85","6358m","989m","1470.00","46765"
"2014/03/12 02:22:53","11322","0","85","6358m","989m","1482.00","46764"
"2014/03/12 02:22:57","11322","0","85","6358m","989m","1438.00","46764"
"2014/03/12 02:23:00","11322","0","85","6358m","989m","1454.00","46763"
"2014/03/12 02:23:03","11322","0","85","6358m","989m","1456.00","46763"
"2014/03/12 02:23:06","11322","0","85","6358m","989m","1408.00","46763"
"2014/03/12 02:23:10","11322","0","85","6358m","989m","1478.00","46763"
"2014/03/12 02:23:13","11322","0","85","6358m","989m","1475.00","46763"
"2014/03/12 02:23:16","11322","0","85","6358m","989m","1448.00","46763"
"2014/03/12 02:23:20","11322","0","85","6358m","989m","1470.00","46763"
"2014/03/12 02:23:23","11322","0","85","6358m","989m","1458.00","46763"
"2014/03/12 02:23:26","11322","0","85","6358m","990m","1478.00","46764"
"2014/03/12 02:23:29","11322","0","85","6358m","990m","1428.00","46762"
"2014/03/12 02:23:33","11322","0","85","6358m","990m","1430.00","46763"
"2014/03/12 02:23:36","11322","0","85","6358m","990m","1440.00","46762"
"2014/03/12 02:23:39","11322","0","85","6358m","990m","1476.00","46763"
"2014/03/12 02:23:42","11322","0","85","6358m","990m","1444.00","46763"
"2014/03/12 02:23:46","11322","0","85","6358m","990m","1411.00","46763"
"2014/03/12 02:23:49","11322","0","85","6358m","992m","1423.00","46763"
"2014/03/12 02:23:52","11322","0","85","6358m","992m","1460.00","46761"
"2014/03/12 02:23:56","11322","0","85","6358m","997m","1432.00","46756"
"2014/03/12 02:23:59","11322","0","85","6358m","996m","1460.00","46757"
"2014/03/12 02:24:02","11322","0","85","6358m","996m","1466.00","46757"
"2014/03/12 02:24:05","11322","0","85","6358m","996m","1467.00","46757"
"2014/03/12 02:24:09","11322","0","85","6358m","996m","1421.00","46755"
"2014/03/12 02:24:12","11322","0","85","6358m","996m","1410.00","46756"
"2014/03/12 02:24:15","11322","0","85","6358m","996m","1398.00","46757"
"2014/03/12 02:24:18","11322","0","85","6358m","997m","1474.00","46755"
"2014/03/12 02:24:22","11322","0","85","6358m","997m","1469.00","46755"
"2014/03/12 02:24:25","11322","0","85","6358m","996m","1476.00","46757"
"2014/03/12 02:24:28","11322","0","85","6358m","996m","1370.00","46757"
"2014/03/12 02:24:31","11322","0","85","6358m","996m","1422.00","46756"
"2014/03/12 02:24:35","11322","0","85","6358m","996m","1425.00","46756"
"2014/03/12 02:24:38","11322","0","85","6358m","996m","1432.00","46756"
"2014/03/12 02:24:41","11322","0","85","6358m","996m","1492.00","46756"
"2014/03/12 02:24:45","11322","0","85","6358m","996m","1444.00","46755"
